Sector:,Liquified Propane Gas (LPG),,,,
Fleet:,Very Large Gas Carrier - Fully Refrigerated,,,,
Sheet:,Rates Master,,,,
Frequency:,Weekly (Friday),,,,
Quandl:,LPG_R/VLGC_FR,,,,
,,,,,
,,,,,
Conventions,,,,,
  Data are as of close of business on Fridays.,,,,,
"  Sources identify the document, site or origin where you got the data. If there are serveral of these, list them like this:  count from OneSource, dwt from AnotherSource",,,,,
  A price of $0 normally means no data for that date.,,,,,
,,,,,
,,,,,
Date,Spot Market ($/day),t.b.d.,t.b.d.,t.b.d.,Sources
4/23/2008,"$25,167 ",$0 ,$0 ,$0 ,
4/30/2008,"$25,167 ",$0 ,$0 ,$0 ,
5/7/2008,"$24,833 ",$0 ,$0 ,$0 ,
5/14/2008,"$30,333 ",$0 ,$0 ,$0 ,
5/21/2008,"$35,333 ",$0 ,$0 ,$0 ,
5/28/2008,"$51,000 ",$0 ,$0 ,$0 ,
6/4/2008,"$51,333 ",$0 ,$0 ,$0 ,
6/11/2008,"$30,167 ",$0 ,$0 ,$0 ,
6/18/2008,"$38,667 ",$0 ,$0 ,$0 ,
6/25/2008,"$38,667 ",$0 ,$0 ,$0 ,
7/2/2008,"$42,667 ",$0 ,$0 ,$0 ,
7/9/2008,"$44,667 ",$0 ,$0 ,$0 ,
7/16/2008,"$61,667 ",$0 ,$0 ,$0 ,
7/23/2008,"$64,500 ",$0 ,$0 ,$0 ,
7/30/2008,"$65,500 ",$0 ,$0 ,$0 ,
8/6/2008,"$57,167 ",$0 ,$0 ,$0 ,
8/13/2008,"$47,667 ",$0 ,$0 ,$0 ,
8/20/2008,"$53,500 ",$0 ,$0 ,$0 ,
8/27/2008,"$46,500 ",$0 ,$0 ,$0 ,
9/3/2008,"$46,500 ",$0 ,$0 ,$0 ,
9/10/2008,"$31,667 ",$0 ,$0 ,$0 ,
9/17/2008,"$31,667 ",$0 ,$0 ,$0 ,
9/24/2008,"$8,333 ",$0 ,$0 ,$0 ,
10/1/2008,"$7,167 ",$0 ,$0 ,$0 ,
10/8/2008,"$14,000 ",$0 ,$0 ,$0 ,
10/15/2008,"$8,167 ",$0 ,$0 ,$0 ,
10/22/2008,"$7,000 ",$0 ,$0 ,$0 ,
10/29/2008,"$10,167 ",$0 ,$0 ,$0 ,
11/5/2008,"$12,667 ",$0 ,$0 ,$0 ,
11/12/2008,"$9,167 ",$0 ,$0 ,$0 ,
11/19/2008,"$10,500 ",$0 ,$0 ,$0 ,
11/26/2008,"$11,000 ",$0 ,$0 ,$0 ,
12/3/2008,"$10,000 ",$0 ,$0 ,$0 ,
12/10/2008,"$9,333 ",$0 ,$0 ,$0 ,
12/17/2008,"$8,000 ",$0 ,$0 ,$0 ,
12/24/2008,"$8,000 ",$0 ,$0 ,$0 ,
12/31/2008,"$8,000 ",$0 ,$0 ,$0 ,
1/7/2009,"$6,167 ",$0 ,$0 ,$0 ,
1/14/2009,"$6,667 ",$0 ,$0 ,$0 ,
1/21/2009,"$6,000 ",$0 ,$0 ,$0 ,
1/28/2009,$0 ,$0 ,$0 ,$0 ,
2/4/2009,"$6,000 ",$0 ,$0 ,$0 ,
2/11/2009,"$6,000 ",$0 ,$0 ,$0 ,
2/18/2009,"$6,000 ",$0 ,$0 ,$0 ,
2/25/2009,"$6,000 ",$0 ,$0 ,$0 ,
3/4/2009,"$6,000 ",$0 ,$0 ,$0 ,
3/11/2009,"$6,000 ",$0 ,$0 ,$0 ,
3/18/2009,"$6,000 ",$0 ,$0 ,$0 ,
3/25/2009,"$7,667 ",$0 ,$0 ,$0 ,
4/1/2009,"$9,333 ",$0 ,$0 ,$0 ,
4/8/2009,"$8,333 ",$0 ,$0 ,$0 ,
4/15/2009,"$6,667 ",$0 ,$0 ,$0 ,
4/22/2009,"$5,333 ",$0 ,$0 ,$0 ,
4/29/2009,"$4,167 ",$0 ,$0 ,$0 ,
5/6/2009,"$4,167 ",$0 ,$0 ,$0 ,
5/13/2009,"$4,167 ",$0 ,$0 ,$0 ,
5/20/2009,"$4,167 ",$0 ,$0 ,$0 ,
5/27/2009,"$5,333 ",$0 ,$0 ,$0 ,
6/3/2009,"$4,667 ",$0 ,$0 ,$0 ,
6/10/2009,"$3,500 ",$0 ,$0 ,$0 ,
6/17/2009,"$3,500 ",$0 ,$0 ,$0 ,
6/24/2009,"$3,500 ",$0 ,$0 ,$0 ,
7/1/2009,"$3,500 ",$0 ,$0 ,$0 ,
7/8/2009,"$9,500 ",$0 ,$0 ,$0 ,
7/15/2009,"$10,333 ",$0 ,$0 ,$0 ,
7/22/2009,"$8,500 ",$0 ,$0 ,$0 ,
7/29/2009,"$7,667 ",$0 ,$0 ,$0 ,
8/5/2009,"$6,833 ",$0 ,$0 ,$0 ,
8/12/2009,"$6,833 ",$0 ,$0 ,$0 ,
8/19/2009,"$6,833 ",$0 ,$0 ,$0 ,
8/26/2009,"$6,833 ",$0 ,$0 ,$0 ,
9/2/2009,"$8,000 ",$0 ,$0 ,$0 ,
9/9/2009,"$8,667 ",$0 ,$0 ,$0 ,
9/16/2009,"$8,667 ",$0 ,$0 ,$0 ,
9/23/2009,"$12,000 ",$0 ,$0 ,$0 ,
9/30/2009,"$12,000 ",$0 ,$0 ,$0 ,
10/7/2009,"$12,000 ",$0 ,$0 ,$0 ,
10/14/2009,"$10,000 ",$0 ,$0 ,$0 ,
10/21/2009,"$10,000 ",$0 ,$0 ,$0 ,
10/28/2009,"$10,000 ",$0 ,$0 ,$0 ,
11/4/2009,"$10,000 ",$0 ,$0 ,$0 ,
11/11/2009,"$5,333 ",$0 ,$0 ,$0 ,
11/18/2009,"$5,333 ",$0 ,$0 ,$0 ,
11/25/2009,"$6,000 ",$0 ,$0 ,$0 ,
12/2/2009,"$10,167 ",$0 ,$0 ,$0 ,
12/9/2009,"$10,167 ",$0 ,$0 ,$0 ,
12/16/2009,"$10,167 ",$0 ,$0 ,$0 ,
12/23/2009,"$10,167 ",$0 ,$0 ,$0 ,
12/30/2009,$0 ,$0 ,$0 ,$0 ,
1/6/2010,"$10,167 ",$0 ,$0 ,$0 ,
1/13/2010,"$10,167 ",$0 ,$0 ,$0 ,
1/20/2010,"$8,500 ",$0 ,$0 ,$0 ,
1/27/2010,"$8,833 ",$0 ,$0 ,$0 ,
2/3/2010,"$7,500 ",$0 ,$0 ,$0 ,
2/10/2010,"$7,500 ",$0 ,$0 ,$0 ,
2/17/2010,"$7,500 ",$0 ,$0 ,$0 ,
2/24/2010,"$7,500 ",$0 ,$0 ,$0 ,
3/3/2010,"$6,500 ",$0 ,$0 ,$0 ,
3/10/2010,"$6,500 ",$0 ,$0 ,$0 ,
3/17/2010,"$10,667 ",$0 ,$0 ,$0 ,
3/24/2010,"$10,333 ",$0 ,$0 ,$0 ,
3/31/2010,$0 ,$0 ,$0 ,$0 ,
4/7/2010,"$11,667 ",$0 ,$0 ,$0 ,
4/14/2010,"$11,667 ",$0 ,$0 ,$0 ,
4/21/2010,"$12,833 ",$0 ,$0 ,$0 ,
4/28/2010,"$14,000 ",$0 ,$0 ,$0 ,
5/5/2010,"$16,000 ",$0 ,$0 ,$0 ,
5/12/2010,"$17,667 ",$0 ,$0 ,$0 ,
5/19/2010,"$16,167 ",$0 ,$0 ,$0 ,
5/26/2010,"$20,000 ",$0 ,$0 ,$0 ,
6/2/2010,"$20,000 ",$0 ,$0 ,$0 ,
6/9/2010,"$30,000 ",$0 ,$0 ,$0 ,
6/16/2010,"$30,000 ",$0 ,$0 ,$0 ,
6/23/2010,"$30,000 ",$0 ,$0 ,$0 ,
6/30/2010,"$29,667 ",$0 ,$0 ,$0 ,
7/7/2010,"$25,833 ",$0 ,$0 ,$0 ,
7/14/2010,"$21,667 ",$0 ,$0 ,$0 ,
7/21/2010,"$20,333 ",$0 ,$0 ,$0 ,
7/28/2010,"$18,000 ",$0 ,$0 ,$0 ,
8/4/2010,"$18,000 ",$0 ,$0 ,$0 ,
8/11/2010,"$14,667 ",$0 ,$0 ,$0 ,
8/18/2010,"$14,667 ",$0 ,$0 ,$0 ,
8/25/2010,"$16,000 ",$0 ,$0 ,$0 ,
9/1/2010,"$16,000 ",$0 ,$0 ,$0 ,
9/8/2010,"$16,667 ",$0 ,$0 ,$0 ,
9/15/2010,"$15,000 ",$0 ,$0 ,$0 ,
9/22/2010,"$16,000 ",$0 ,$0 ,$0 ,
9/29/2010,"$16,000 ",$0 ,$0 ,$0 ,
10/6/2010,"$16,000 ",$0 ,$0 ,$0 ,
10/13/2010,"$18,167 ",$0 ,$0 ,$0 ,
10/20/2010,"$20,667 ",$0 ,$0 ,$0 ,
10/27/2010,"$20,833 ",$0 ,$0 ,$0 ,
11/3/2010,"$20,833 ",$0 ,$0 ,$0 ,
11/10/2010,"$22,000 ",$0 ,$0 ,$0 ,
11/17/2010,"$30,000 ",$0 ,$0 ,$0 ,
11/24/2010,"$32,000 ",$0 ,$0 ,$0 ,
12/1/2010,"$32,000 ",$0 ,$0 ,$0 ,
12/8/2010,"$27,000 ",$0 ,$0 ,$0 ,
12/15/2010,"$21,000 ",$0 ,$0 ,$0 ,
12/22/2010,"$19,167 ",$0 ,$0 ,$0 ,
12/29/2010,"$18,000 ",$0 ,$0 ,$0 ,
1/5/2011,"$17,000 ",$0 ,$0 ,$0 ,
1/12/2011,"$15,667 ",$0 ,$0 ,$0 ,
1/19/2011,"$17,333 ",$0 ,$0 ,$0 ,
1/26/2011,"$19,333 ",$0 ,$0 ,$0 ,
2/2/2011,"$15,000 ",$0 ,$0 ,$0 ,
2/9/2011,"$11,667 ",$0 ,$0 ,$0 ,
2/16/2011,"$11,667 ",$0 ,$0 ,$0 ,
2/23/2011,"$15,000 ",$0 ,$0 ,$0 ,
3/2/2011,"$18,333 ",$0 ,$0 ,$0 ,
3/9/2011,"$18,833 ",$0 ,$0 ,$0 ,
3/16/2011,"$22,333 ",$0 ,$0 ,$0 ,
3/23/2011,"$27,000 ",$0 ,$0 ,$0 ,
3/30/2011,"$27,000 ",$0 ,$0 ,$0 ,
4/6/2011,"$20,667 ",$0 ,$0 ,$0 ,
4/13/2011,"$21,000 ",$0 ,$0 ,$0 ,
4/20/2011,$0 ,$0 ,$0 ,$0 ,
4/27/2011,"$29,500 ",$0 ,$0 ,$0 ,
5/4/2011,"$23,333 ",$0 ,$0 ,$0 ,
5/11/2011,"$17,667 ",$0 ,$0 ,$0 ,
5/18/2011,"$14,000 ",$0 ,$0 ,$0 ,
5/25/2011,"$13,667 ",$0 ,$0 ,$0 ,
6/1/2011,"$11,167 ",$0 ,$0 ,$0 ,
6/8/2011,"$11,167 ",$0 ,$0 ,$0 ,
6/15/2011,"$11,167 ",$0 ,$0 ,$0 ,
6/22/2011,"$12,667 ",$0 ,$0 ,$0 ,
6/29/2011,"$16,000 ",$0 ,$0 ,$0 ,
7/6/2011,"$18,333 ",$0 ,$0 ,$0 ,
7/13/2011,"$23,667 ",$0 ,$0 ,$0 ,
7/20/2011,"$24,000 ",$0 ,$0 ,$0 ,
7/27/2011,"$35,333 ",$0 ,$0 ,$0 ,
8/3/2011,"$35,667 ",$0 ,$0 ,$0 ,
8/10/2011,"$35,667 ",$0 ,$0 ,$0 ,
8/17/2011,"$40,000 ",$0 ,$0 ,$0 ,
8/24/2011,"$40,000 ",$0 ,$0 ,$0 ,
8/31/2011,"$38,000 ",$0 ,$0 ,$0 ,
9/7/2011,"$39,667 ",$0 ,$0 ,$0 ,
9/14/2011,"$43,333 ",$0 ,$0 ,$0 ,
9/21/2011,"$44,000 ",$0 ,$0 ,$0 ,
9/28/2011,"$44,667 ",$0 ,$0 ,$0 ,
10/5/2011,"$48,000 ",$0 ,$0 ,$0 ,
10/12/2011,"$53,000 ",$0 ,$0 ,$0 ,
10/19/2011,"$53,333 ",$0 ,$0 ,$0 ,
10/26/2011,"$50,333 ",$0 ,$0 ,$0 ,
11/2/2011,"$50,000 ",$0 ,$0 ,$0 ,
11/9/2011,"$44,000 ",$0 ,$0 ,$0 ,
11/16/2011,"$44,000 ",$0 ,$0 ,$0 ,
11/23/2011,"$41,667 ",$0 ,$0 ,$0 ,
11/30/2011,"$38,333 ",$0 ,$0 ,$0 ,
12/7/2011,"$32,667 ",$0 ,$0 ,$0 ,
12/14/2011,"$32,667 ",$0 ,$0 ,$0 ,
12/21/2011,"$15,000 ",$0 ,$0 ,$0 ,
12/28/2011,$0 ,$0 ,$0 ,$0 ,
1/4/2012,"$10,833 ",$0 ,$0 ,$0 ,
1/11/2012,"$6,167 ",$0 ,$0 ,$0 ,
1/18/2012,"$8,000 ",$0 ,$0 ,$0 ,
1/25/2012,"$8,000 ",$0 ,$0 ,$0 ,
2/1/2012,"$11,000 ",$0 ,$0 ,$0 ,
2/8/2012,"$11,000 ",$0 ,$0 ,$0 ,
2/15/2012,"$13,000 ",$0 ,$0 ,$0 ,
2/22/2012,"$13,167 ",$0 ,$0 ,$0 ,
2/29/2012,$0 ,$0 ,$0 ,$0 ,
3/7/2012,"$13,167 ",$0 ,$0 ,$0 ,
3/14/2012,"$12,833 ",$0 ,$0 ,$0 ,
3/21/2012,"$11,000 ",$0 ,$0 ,$0 ,
3/28/2012,"$11,000 ",$0 ,$0 ,$0 ,
4/4/2012,$0 ,$0 ,$0 ,$0 ,
4/11/2012,"$10,667 ",$0 ,$0 ,$0 ,
4/18/2012,"$11,000 ",$0 ,$0 ,$0 ,
4/25/2012,"$26,000 ",$0 ,$0 ,$0 ,
5/2/2012,"$32,000 ",$0 ,$0 ,$0 ,
5/9/2012,"$38,667 ",$0 ,$0 ,$0 ,
5/16/2012,$0 ,$0 ,$0 ,$0 ,
5/23/2012,"$44,000 ",$0 ,$0 ,$0 ,
5/30/2012,"$42,500 ",$0 ,$0 ,$0 ,
6/6/2012,"$45,833 ",$0 ,$0 ,$0 ,
6/13/2012,"$46,667 ",$0 ,$0 ,$0 ,
6/20/2012,"$47,667 ",$0 ,$0 ,$0 ,
6/27/2012,"$48,333 ",$0 ,$0 ,$0 ,
7/4/2012,"$45,000 ",$0 ,$0 ,$0 ,
7/11/2012,"$48,333 ",$0 ,$0 ,$0 ,
7/18/2012,"$48,833 ",$0 ,$0 ,$0 ,
7/25/2012,"$48,167 ",$0 ,$0 ,$0 ,
8/1/2012,"$45,667 ",$0 ,$0 ,$0 ,
8/8/2012,"$48,833 ",$0 ,$0 ,$0 ,
8/15/2012,"$51,667 ",$0 ,$0 ,$0 ,
8/22/2012,"$51,167 ",$0 ,$0 ,$0 ,
8/29/2012,"$49,833 ",$0 ,$0 ,$0 ,
9/5/2012,"$41,000 ",$0 ,$0 ,$0 ,
9/12/2012,"$38,000 ",$0 ,$0 ,$0 ,
9/19/2012,"$38,000 ",$0 ,$0 ,$0 ,
9/26/2012,"$34,833 ",$0 ,$0 ,$0 ,
10/3/2012,"$32,440 ",$0 ,$0 ,$0 ,
10/10/2012,"$32,440 ",$0 ,$0 ,$0 ,
10/17/2012,"$20,167 ",$0 ,$0 ,$0 ,
10/24/2012,"$12,862 ",$0 ,$0 ,$0 ,
10/31/2012,"$8,500 ",$0 ,$0 ,$0 ,
11/7/2012,"$16,667 ",$0 ,$0 ,$0 ,
11/14/2012,"$18,333 ",$0 ,$0 ,$0 ,
11/21/2012,"$18,333 ",$0 ,$0 ,$0 ,
11/28/2012,"$16,167 ",$0 ,$0 ,$0 ,
12/5/2012,"$10,000 ",$0 ,$0 ,$0 ,
12/12/2012,"$10,000 ",$0 ,$0 ,$0 ,
12/19/2012,"$14,433 ",$0 ,$0 ,$0 ,
12/26/2012,$0 ,$0 ,$0 ,$0 ,missing in source
1/2/2013,"$13,000 ",$0 ,$0 ,$0 ,
1/9/2013,"$10,000 ",$0 ,$0 ,$0 ,
1/16/2013,"$10,000 ",$0 ,$0 ,$0 ,
1/23/2013,"$9,333 ",$0 ,$0 ,$0 ,
1/30/2013,"$9,667 ",$0 ,$0 ,$0 ,
2/6/2013,"$10,000 ",$0 ,$0 ,$0 ,
2/13/2013,"$9,667 ",$0 ,$0 ,$0 ,
2/20/2013,"$15,167 ",$0 ,$0 ,$0 ,
2/27/2013,"$15,167 ",$0 ,$0 ,$0 ,
3/6/2013,"$15,833 ",$0 ,$0 ,$0 ,
3/13/2013,"$15,000 ",$0 ,$0 ,$0 ,
3/20/2013,"$12,500 ",$0 ,$0 ,$0 ,
3/27/2013,$0 ,$0 ,$0 ,$0 ,
4/3/2013,"$10,167 ",$0 ,$0 ,$0 ,
4/10/2013,"$12,833 ",$0 ,$0 ,$0 ,
4/17/2013,"$13,000 ",$0 ,$0 ,$0 ,
4/24/2013,"$17,333 ",$0 ,$0 ,$0 ,
5/1/2013,$0 ,$0 ,$0 ,$0 ,
5/8/2013,"$38,667 ",$0 ,$0 ,$0 ,
5/15/2013,"$34,000 ",$0 ,$0 ,$0 ,
5/22/2013,"$41,667 ",$0 ,$0 ,$0 ,
5/29/2013,"$41,667 ",$0 ,$0 ,$0 ,
6/5/2013,"$44,000 ",$0 ,$0 ,$0 ,
6/12/2013,"$47,667 ",$0 ,$0 ,$0 ,
6/19/2013,"$56,833 ",$0 ,$0 ,$0 ,
6/26/2013,"$57,667 ",$0 ,$0 ,$0 ,
7/3/2013,"$55,833 ",$0 ,$0 ,$0 ,
7/10/2013,"$50,000 ",$0 ,$0 ,$0 ,
7/17/2013,"$43,333 ",$0 ,$0 ,$0 ,
7/24/2013,"$48,000 ",$0 ,$0 ,$0 ,
7/31/2013,"$52,667 ",$0 ,$0 ,$0 ,
8/7/2013,"$55,000 ",$0 ,$0 ,$0 ,
8/14/2013,"$53,667 ",$0 ,$0 ,$0 ,
8/21/2013,"$55,000 ",$0 ,$0 ,$0 ,
8/28/2013,"$56,333 ",$0 ,$0 ,$0 ,
9/4/2013,"$52,500 ",$0 ,$0 ,$0 ,
9/11/2013,"$51,167 ",$0 ,$0 ,$0 ,
9/18/2013,"$48,167 ",$0 ,$0 ,$0 ,
9/25/2013,"$43,333 ",$0 ,$0 ,$0 ,
10/2/2013,"$38,333 ",$0 ,$0 ,$0 ,
10/9/2013,"$40,833 ",$0 ,$0 ,$0 ,
10/16/2013,"$39,833 ",$0 ,$0 ,$0 ,
10/23/2013,"$38,333 ",$0 ,$0 ,$0 ,
10/30/2013,"$36,667 ",$0 ,$0 ,$0 ,
11/6/2013,"$35,000 ",$0 ,$0 ,$0 ,
11/13/2013,"$37,667 ",$0 ,$0 ,$0 ,
11/20/2013,"$37,333 ",$0 ,$0 ,$0 ,
11/27/2013,"$39,000 ",$0 ,$0 ,$0 ,
12/4/2013,"$35,667 ",$0 ,$0 ,$0 ,
12/11/2013,"$27,000 ",$0 ,$0 ,$0 ,
12/18/2013,"$21,400 ",$0 ,$0 ,$0 ,
